epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0378,1.13934,1.81915,1.26033,0.8982,0.71975,0.8203,0.60563,0.92928,1.16968,1.09916,0.00066087,0.00066087,0.00066087
2,88.1734,1.1889,1.40946,1.27761,0.89412,0.67342,0.79912,0.55238,1.06236,1.14053,1.20342,0.00130125,0.00130125,0.00130125
3,130.952,1.20598,1.26591,1.28293,0.66773,0.5912,0.61755,0.41355,1.06746,1.46562,1.21939,0.00191523,0.00191523,0.00191523
4,173.9,1.16779,1.12959,1.27271,0.87361,0.65078,0.76697,0.53346,1.06515,1.71541,1.2335,0.0018812,0.0018812,0.0018812
5,216.384,1.10335,1.05841,1.23874,0.8989,0.76608,0.87696,0.65473,0.89525,0.76378,1.09138,0.0018416,0.0018416,0.0018416
6,259.067,1.06842,0.99674,1.21763,0.91231,0.68011,0.83165,0.63708,0.84543,0.87575,1.0754,0.001802,0.001802,0.001802
7,301.306,1.02332,0.94173,1.20305,0.89901,0.77515,0.88706,0.66023,0.87922,0.72997,1.08497,0.0017624,0.0017624,0.0017624
8,343.73,0.9895,0.89845,1.17534,0.90478,0.80127,0.91686,0.71078,0.76457,0.70213,1.03456,0.0017228,0.0017228,0.0017228
9,386.296,0.9627,0.86099,1.15185,0.8936,0.82493,0.92443,0.74151,0.70256,0.67802,1.00438,0.0016832,0.0016832,0.0016832
10,428.596,0.92098,0.81673,1.13568,0.9283,0.84252,0.94206,0.75695,0.68246,0.58911,0.98215,0.0016436,0.0016436,0.0016436
11,471.314,0.90041,0.80861,1.13293,0.87537,0.79832,0.90497,0.72685,0.71428,0.73643,1.01953,0.001604,0.001604,0.001604
12,513.664,0.87961,0.77476,1.11448,0.91083,0.85201,0.94639,0.78836,0.62226,0.54686,0.94811,0.0015644,0.0015644,0.0015644
13,556.114,0.86491,0.75956,1.11179,0.91905,0.85332,0.94973,0.79849,0.61833,0.50722,0.94615,0.0015248,0.0015248,0.0015248
14,598.743,0.87663,0.77795,1.11988,0.94197,0.86301,0.95705,0.80694,0.60855,0.51236,0.95147,0.0014852,0.0014852,0.0014852
15,641.141,0.85058,0.74434,1.09964,0.92792,0.89681,0.96208,0.81521,0.57996,0.47854,0.92156,0.0014456,0.0014456,0.0014456
16,683.523,0.82719,0.72868,1.09453,0.93791,0.88605,0.95821,0.81837,0.56476,0.48178,0.9244,0.001406,0.001406,0.001406
17,726.083,0.8298,0.71051,1.08649,0.93854,0.89577,0.96609,0.82531,0.56072,0.4734,0.91542,0.0013664,0.0013664,0.0013664
18,768.707,0.80011,0.70016,1.07941,0.93165,0.89958,0.96666,0.82758,0.56182,0.48024,0.92465,0.0013268,0.0013268,0.0013268
19,811.413,0.79094,0.67011,1.06842,0.91719,0.90742,0.9649,0.83532,0.54364,0.45386,0.91592,0.0012872,0.0012872,0.0012872
20,854.001,0.74767,0.64467,1.04785,0.93516,0.90926,0.96742,0.84415,0.54843,0.43361,0.91089,0.0012476,0.0012476,0.0012476
21,896.549,0.76012,0.65737,1.05499,0.95599,0.89918,0.97105,0.85236,0.51853,0.41239,0.89155,0.001208,0.001208,0.001208
22,939.013,0.74276,0.63262,1.04415,0.9627,0.9225,0.9801,0.85919,0.50007,0.39881,0.88343,0.0011684,0.0011684,0.0011684
23,981.388,0.74114,0.6377,1.04781,0.93952,0.93034,0.97716,0.85529,0.50992,0.42372,0.89492,0.0011288,0.0011288,0.0011288
24,1023.84,0.73103,0.62058,1.03894,0.93756,0.92117,0.97463,0.84975,0.52343,0.41669,0.89867,0.0010892,0.0010892,0.0010892
25,1066.26,0.71683,0.61301,1.03312,0.95362,0.92348,0.97723,0.86253,0.48168,0.3859,0.88497,0.0010496,0.0010496,0.0010496
26,1108.73,0.69873,0.58942,1.02412,0.96374,0.92564,0.97932,0.86982,0.47354,0.37054,0.87716,0.00101,0.00101,0.00101
27,1151.14,0.68886,0.57881,1.0227,0.95539,0.92576,0.98005,0.86676,0.48893,0.38919,0.88364,0.0009704,0.0009704,0.0009704
28,1193.58,0.69088,0.57888,1.02717,0.94993,0.94042,0.98332,0.87192,0.47049,0.36939,0.86989,0.0009308,0.0009308,0.0009308
29,1235.98,0.68464,0.57694,1.01496,0.95571,0.94867,0.98446,0.88284,0.44641,0.35725,0.86374,0.0008912,0.0008912,0.0008912
30,1278.38,0.66213,0.56484,1.01285,0.95283,0.9505,0.9835,0.87999,0.45737,0.35297,0.86744,0.0008516,0.0008516,0.0008516
31,1320.69,0.66958,0.5562,1.01439,0.95346,0.93883,0.98553,0.87281,0.47554,0.40191,0.88067,0.000812,0.000812,0.000812
32,1363.16,0.65455,0.55256,1.00561,0.95354,0.94684,0.98462,0.8882,0.45049,0.35842,0.86459,0.0007724,0.0007724,0.0007724
33,1405.58,0.64741,0.54172,1.00046,0.95738,0.956,0.98276,0.88442,0.44921,0.34953,0.86073,0.0007328,0.0007328,0.0007328
34,1447.93,0.64637,0.53672,1.00539,0.9773,0.94722,0.98656,0.88561,0.43756,0.34361,0.86232,0.0006932,0.0006932,0.0006932
35,1490.44,0.63129,0.52433,0.99395,0.95517,0.945,0.98272,0.88733,0.43957,0.33955,0.86059,0.0006536,0.0006536,0.0006536
36,1532.76,0.62644,0.52151,0.98833,0.97666,0.95234,0.98782,0.89921,0.4199,0.32041,0.85288,0.000614,0.000614,0.000614
37,1575.22,0.6239,0.52222,0.98806,0.97009,0.95138,0.9884,0.89326,0.42926,0.34486,0.85763,0.0005744,0.0005744,0.0005744
38,1617.56,0.62241,0.51227,0.98644,0.97429,0.94867,0.98808,0.89978,0.42101,0.32729,0.8537,0.0005348,0.0005348,0.0005348
39,1660.23,0.60035,0.50569,0.98232,0.96484,0.95574,0.98784,0.89428,0.42596,0.32742,0.85146,0.0004952,0.0004952,0.0004952
40,1702.55,0.60822,0.50943,0.98753,0.98662,0.94591,0.98808,0.90158,0.41797,0.31439,0.84696,0.0004556,0.0004556,0.0004556
41,1744.74,0.4388,0.36118,0.87061,0.9726,0.95417,0.98882,0.90376,0.41179,0.32222,0.84834,0.000416,0.000416,0.000416
42,1785.2,0.43216,0.35069,0.86972,0.97456,0.95784,0.98969,0.91039,0.40888,0.31388,0.84535,0.0003764,0.0003764,0.0003764
43,1825.64,0.42668,0.34201,0.87395,0.97936,0.9568,0.98968,0.91224,0.40259,0.31144,0.8467,0.0003368,0.0003368,0.0003368
44,1866.29,0.42114,0.33642,0.86499,0.97321,0.96556,0.98972,0.91144,0.3975,0.3098,0.84307,0.0002972,0.0002972,0.0002972
45,1906.72,0.40863,0.32285,0.86001,0.98474,0.94607,0.98944,0.9094,0.40135,0.30426,0.84272,0.0002576,0.0002576,0.0002576
46,1947.19,0.3962,0.31777,0.85676,0.97425,0.96334,0.99003,0.91301,0.3917,0.29711,0.84383,0.000218,0.000218,0.000218
47,1987.68,0.39704,0.31409,0.85756,0.97675,0.96246,0.98951,0.92004,0.37281,0.28547,0.83558,0.0001784,0.0001784,0.0001784
48,2027.94,0.38575,0.30421,0.85322,0.96942,0.967,0.99036,0.92098,0.37126,0.28539,0.83563,0.0001388,0.0001388,0.0001388
49,2068.36,0.37541,0.30282,0.84776,0.97508,0.96851,0.99079,0.92005,0.3728,0.28309,0.83496,9.92e-05,9.92e-05,9.92e-05
50,2108.49,0.37347,0.29782,0.85313,0.98023,0.96884,0.99125,0.92366,0.36612,0.27478,0.83271,5.96e-05,5.96e-05,5.96e-05
