epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0997,1.13434,2.73388,1.26042,0.45604,0.59924,0.45032,0.34981,0.80826,1.99185,1.05951,0.000413043,0.000413043,0.000413043
2,88.6235,1.10463,2.13479,1.22779,0.40734,0.58549,0.47536,0.33682,0.88909,1.65471,1.09844,0.000813282,0.000813282,0.000813282
3,131.975,1.13532,1.90643,1.25101,0.44057,0.75695,0.57313,0.40161,0.9131,1.34959,1.09655,0.00119702,0.00119702,0.00119702
4,175.084,1.11067,1.70799,1.23006,0.54135,0.70198,0.61495,0.44904,0.873,1.28918,1.08547,0.00117575,0.00117575,0.00117575
5,217.739,1.03657,1.55179,1.19267,0.59844,0.73289,0.61134,0.44958,0.81717,1.20959,1.04825,0.001151,0.001151,0.001151
6,260.58,1.02361,1.46325,1.18659,0.62182,0.79505,0.67476,0.52608,0.72392,1.06009,0.99247,0.00112625,0.00112625,0.00112625
7,303.199,0.96679,1.38908,1.15593,0.58379,0.7863,0.66258,0.51795,0.72405,1.09432,1.0061,0.0011015,0.0011015,0.0011015
8,345.733,0.93029,1.32304,1.12872,0.67814,0.81988,0.68351,0.53446,0.66918,0.96748,0.97588,0.00107675,0.00107675,0.00107675
9,388.625,0.88785,1.26669,1.10995,0.56715,0.80943,0.72128,0.56814,0.6592,1.04379,0.97399,0.001052,0.001052,0.001052
10,431.402,0.8741,1.23437,1.09843,0.64839,0.81387,0.76567,0.62024,0.64714,0.90828,0.95576,0.00102725,0.00102725,0.00102725
11,473.979,0.85272,1.19137,1.09657,0.6769,0.84574,0.78165,0.64349,0.58624,0.84722,0.93183,0.0010025,0.0010025,0.0010025
12,516.771,0.84506,1.18148,1.08912,0.58841,0.82247,0.76899,0.63391,0.59849,1.06323,0.94936,0.00097775,0.00097775,0.00097775
13,559.411,0.82863,1.13877,1.08355,0.74695,0.78733,0.81619,0.67965,0.55726,0.80759,0.90934,0.000953,0.000953,0.000953
14,602.209,0.81892,1.13414,1.07444,0.69268,0.84499,0.81864,0.67372,0.58257,0.805,0.94849,0.00092825,0.00092825,0.00092825
15,644.874,0.80109,1.09515,1.0682,0.75575,0.83133,0.85588,0.72073,0.54782,0.71753,0.90928,0.0009035,0.0009035,0.0009035
16,687.477,0.79229,1.06855,1.05914,0.65905,0.87719,0.82173,0.67528,0.56133,0.8587,0.9253,0.00087875,0.00087875,0.00087875
17,730.348,0.77812,1.03742,1.05161,0.74735,0.84736,0.8527,0.71005,0.55661,0.73734,0.92037,0.000854,0.000854,0.000854
18,773.057,0.75886,1.02931,1.04933,0.74327,0.84909,0.85587,0.73363,0.52499,0.7304,0.90555,0.00082925,0.00082925,0.00082925
19,815.969,0.75588,0.99622,1.03548,0.79998,0.83272,0.87404,0.75259,0.52134,0.67556,0.90349,0.0008045,0.0008045,0.0008045
20,858.702,0.72193,0.98239,1.02737,0.80389,0.85926,0.89506,0.77347,0.52033,0.63716,0.89443,0.00077975,0.00077975,0.00077975
21,901.398,0.73721,0.95049,1.03685,0.78585,0.83238,0.87453,0.75529,0.50556,0.65574,0.88942,0.000755,0.000755,0.000755
22,944.158,0.71157,0.92919,1.02262,0.78443,0.86886,0.88676,0.76461,0.51115,0.65364,0.89349,0.00073025,0.00073025,0.00073025
23,986.701,0.71167,0.91449,1.01994,0.81024,0.87565,0.91902,0.79085,0.50705,0.60318,0.88996,0.0007055,0.0007055,0.0007055
24,1029.64,0.6964,0.89695,1.01232,0.84761,0.87024,0.92756,0.80865,0.49288,0.55846,0.8821,0.00068075,0.00068075,0.00068075
25,1072.32,0.69519,0.87186,1.00893,0.84398,0.86123,0.92394,0.79425,0.50904,0.60031,0.88807,0.000656,0.000656,0.000656
26,1115.06,0.67159,0.85374,1.00148,0.88805,0.90197,0.94487,0.8338,0.47052,0.51941,0.8815,0.00063125,0.00063125,0.00063125
27,1157.81,0.67467,0.84691,1.00219,0.83055,0.8438,0.91291,0.7995,0.49201,0.62408,0.8821,0.0006065,0.0006065,0.0006065
28,1200.7,0.66372,0.83746,1.0002,0.83307,0.87827,0.926,0.81513,0.4693,0.55705,0.87815,0.00058175,0.00058175,0.00058175
29,1243.51,0.66685,0.84256,1.00369,0.84079,0.86209,0.92844,0.82633,0.45038,0.5512,0.86939,0.000557,0.000557,0.000557
30,1286.28,0.64634,0.80953,0.9964,0.88221,0.87096,0.94961,0.84295,0.45481,0.50619,0.87163,0.00053225,0.00053225,0.00053225
31,1328.95,0.63644,0.77045,0.98903,0.86093,0.8948,0.95105,0.84786,0.44694,0.50814,0.86063,0.0005075,0.0005075,0.0005075
32,1371.68,0.62632,0.77851,0.97963,0.84953,0.90057,0.94992,0.85781,0.43,0.50706,0.85759,0.00048275,0.00048275,0.00048275
33,1414.34,0.62131,0.76659,0.97923,0.82934,0.89248,0.94822,0.84277,0.44996,0.53162,0.87058,0.000458,0.000458,0.000458
34,1456.88,0.61409,0.74076,0.97637,0.89034,0.90002,0.95266,0.84871,0.44222,0.48137,0.8648,0.00043325,0.00043325,0.00043325
35,26.3533,0.60554,0.74291,0.97124,0.90193,0.90312,0.96024,0.87003,0.41323,0.44998,0.85297,0.0004085,0.0004085,0.0004085
36,52.8149,0.59715,0.7214,0.97157,0.87707,0.91104,0.96146,0.87324,0.41195,0.43878,0.84987,0.00038375,0.00038375,0.00038375
37,79.1408,0.5996,0.73777,0.97576,0.90028,0.89624,0.95458,0.8645,0.41196,0.44718,0.85112,0.000359,0.000359,0.000359
38,105.35,0.579,0.69679,0.96259,0.88319,0.91302,0.9648,0.87991,0.40501,0.43606,0.85099,0.00033425,0.00033425,0.00033425
39,131.606,0.57346,0.68441,0.95646,0.90443,0.91776,0.96838,0.87877,0.41054,0.41546,0.85475,0.0003095,0.0003095,0.0003095
40,157.804,0.56797,0.66964,0.95779,0.9127,0.91669,0.96165,0.87892,0.40143,0.42501,0.84648,0.00028475,0.00028475,0.00028475
41,184.236,0.42748,0.49661,0.86615,0.89942,0.92498,0.96638,0.87603,0.42047,0.41531,0.85261,0.00026,0.00026,0.00026
42,210.252,0.41703,0.45468,0.86289,0.92309,0.9263,0.97229,0.88902,0.39932,0.39446,0.84515,0.00023525,0.00023525,0.00023525
43,236.488,0.40745,0.42434,0.85941,0.91859,0.90921,0.97364,0.88777,0.40263,0.40146,0.84512,0.0002105,0.0002105,0.0002105
44,262.55,0.40462,0.4121,0.85858,0.93586,0.90765,0.97193,0.89211,0.39187,0.38532,0.84412,0.00018575,0.00018575,0.00018575
45,288.626,0.39526,0.40954,0.85954,0.93399,0.92337,0.97594,0.89636,0.38891,0.36577,0.84301,0.000161,0.000161,0.000161
46,314.713,0.39386,0.40701,0.8525,0.93959,0.92725,0.97855,0.89929,0.38581,0.36334,0.84097,0.00013625,0.00013625,0.00013625
47,340.801,0.37836,0.38559,0.85064,0.92865,0.92522,0.97415,0.89922,0.37612,0.37558,0.8368,0.0001115,0.0001115,0.0001115
48,366.868,0.37403,0.37539,0.851,0.94549,0.92502,0.97753,0.90199,0.37092,0.35646,0.83551,8.675e-05,8.675e-05,8.675e-05
49,392.961,0.36603,0.36641,0.83957,0.94833,0.91419,0.97974,0.9059,0.36864,0.34718,0.83495,6.2e-05,6.2e-05,6.2e-05
50,419.159,0.36697,0.35648,0.84489,0.9376,0.93167,0.9796,0.90821,0.36301,0.34181,0.83303,3.725e-05,3.725e-05,3.725e-05
